Sheet,Name,UpdateGroup,OS,IPAddress,UpdateDetails,SuperOpsName,AssetId,HostName,Platform,PlatformFamily,Status,PatchStatus,LastCommunicated,Category,Matched
INC-46316,SV-OS-DC-02,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.12,OS Updates,SV-OS-DC-02,1516517069427871744,SV-OS-DC-02,Microsoft Windows Server 2019 Datacenter,Server (Domain Controller),ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Auto-Update-2,Yes
INC-46316,SV-OS-IH-01,Gruppe 3,Microsoft Windows Server 2019 Standard,10.100.15.16,"OS Updates, PHP",SV-OS-IH-01,1635282824172363776,SV-OS-IH-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Install Pending,2026-08-06 08:17,SV_SW-Std_Auto-Update-2,Yes
INC-46316,SV-OS-IR-01,Gruppe 3,Microsoft Windows Server 2019 Standard,10.100.15.111,OS Updates,,,,,,,,,,No
INC-46316,SV-OS-MGT-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.15,OS Updates + Applikationen,SV-OS-MGT-01,1291279533970051072,SV-OS-MGT-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Auto-Update-2,Yes
INC-46316,SV-OS-NUPRX-01,Gruppe 3,N/A,10.100.2.16,OS Updates & veeam,,,,,,,,,,No
INC-46316,SV-OS-OIP-01,Gruppe 2,Microsoft Windows Server 2019 Standard,10.100.15.106,OS Updates,SV-OS-OIP-01,5037660743968047104,SV-OS-OIP-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-OS-PRB-02,Autoinstall,Microsoft Windows Server 2019 Standard,10.100.15.36,OS Updates,,,,,,,,,,No
INC-46316,SV-OS-PWR-01,Gruppe 1,Microsoft Windows Server 2019 Standard,10.100.15.109,OS Updates,SV-OS-PWR-01,3751094959217057792,SV-OS-PWR-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Install Pending,2026-08-06 08:17,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-OS-SAGE-01,Gruppe 2,Microsoft Windows Server 2019 Standard,10.100.15.34,OS Updates,SV-OS-SAGE-01,3751120303047319552,SV-OS-SAGE-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Reboot Required,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-OS-SQLND-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.25,OS Updates + SQL mit Cluster aware update,SV-OS-SQLND-01,5037675042849505280,SV-OS-SQLND-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Fully Patched,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-OS-SQLND-02,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.22,OS Updates + SQL mit Cluster aware update,SV-OS-SQLND-02,1635303243365441536,SV-OS-SQLND-02,Microsoft Windows Server 2019 Standard,Server,ONLINE,Fully Patched,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-OS-TIME-01,Gruppe 2,Microsoft Windows Server 2019 Standard,10.100.15.16,OS Updates,SV-OS-TIME-01,3751094916779089920,SV-OS-TIME-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Install Pending,2026-08-06 08:17,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-OS-UPS-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.180,OS Updates & Software,SV-OS-UPS-01,3655450426126028800,SV-OS-UPS-01,Microsoft Windows Server 2019 Standard,Server,OFFLINE,Reboot Required,2026-07-10 08:35,SV_SW-Std_Auto-Update-1,Yes
INC-46316,SV-OS-WDS-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.31,OS Updates,,,,,,,,,,No
INC-46316,SV-OS-WSUS-01,AutoInstall,Microsoft Windows Server 2019 Standard,10.100.15.32,OS Updates,SV-OS-WSUS-01,7631324831867908096,SV-OS-WSUS-01,Microsoft Windows Server 2025 Standard,Server,ONLINE,Install Pending,2026-08-06 08:16,,Yes
INC-46316,SV-PB-HV-01,Gruppe 4,Windows Server 2019 Datacenter,10.100.100.51,OS Updates & Treiber & USV,SV-PB-HV-01,572883608847360000,SV-PB-HV-01,Microsoft Windows Server 2019 Standard,Server,OFFLINE,Install Pending,2026-08-04 15:33,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-PB-PRB-01,Autoinstall,Microsoft Windows Server 2019 Standard,10.100.100.21,OS Updates,,,,,,,,,,No
INC-46316,SV-PRINT-06,Gruppe 1,Microsoft Windows Server 2012 R2 Datacenter,135.135.32.143,OS Updates,,,,,,,,,,No
INC-46316,SV-PSG-CIM-01,Gruppe 4,Windows Server 2019 Datacenter,10.100.101.21,OS Updates,SV-PSG-CIM-01,1306826073592401920,SV-PSG-CIM-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Install Pending,2026-08-06 08:17,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-PSG-CIM-02,Gruppe 4,Microsoft Windows Server 2019 Standard,10.100.101.22,OS Updates,SV-PSG-CIM-02,1306822750629892096,SV-PSG-CIM-02,Microsoft Windows Server 2019 Standard,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-PSG-DC-01,Gruppe 4,Windows Server 2019 Datacenter,10.100.101.11,OS Updates,SV-PSG-DC-01,1951775646885867520,SV-PSG-DC-01,Microsoft Windows Server 2019 Standard,Server (Domain Controller),ONLINE,Install Pending,2026-08-06 08:17,SV_SW-Std_Auto-Update-1,Yes
INC-46316,SV-PSG-HIST-01,Gruppe 4,Windows Server 2019 Datacenter,10.100.101.23,OS Updates,SV-PSG-HIST-01,1951772813461549056,SV-PSG-HIST-01,Microsoft Windows Server 2019 Standard,Server,ONLINE,Install Pending,2026-08-06 08:16,SV_SW-Std_Update-ScanOnly,Yes
INC-46316,SV-STO-NA-01,MUSS EINGEPLANT WERDEN,DSM 7.0.1-42218,10.100.15.91,DSM Update,,,,,,,,,,No
INC-46316,SV-STO-NA-02,Kein Update,DSM 7.0.1-42218 Update 2,10.100.15.92,DSM Update,,,,,,,,,,No
INC-46316,SV-STO-NA-03,Kein Update,DSM 7.0.1-42218 Update 2,10.100.15.93,DSM Update,,,,,,,,,,No
INC-46316,SV-STO-NA-04,Kein Update,DSM 7.0.1-42218 Update 2,10.100.15.94,DSM Update,,,,,,,,,,No
INC-46316,SV-STO-SYNO-01,Gruppe 3,DSM 7.2.1,10.100.15.95,DSM Update,,,,,,,,,,No
INC-46316,SV-STO-SYNO-02,Gruppe 3,DSM 7.2.1,10.100.15.96,DSM Update,,,,,,,,,,No
INC-46316,SV-VCENTER-02,Kein Update,,135.135.32.129,,,,,,,,,,,No
INC-46316,SW-EDV-01,Kein Update,,135.135.32.117,Keine - Legacy Umgebung,,,,,,,,,,No
INC-46316,SW-FCS-01,Kein Update,,135.135.32.118,Keine - Legacy Umgebung,,,,,,,,,,No
INC-46316,SW-FCS-02,Kein Update,,135.135.32.119,Keine - Legacy Umgebung,,,,,,,,,,No
